id,answer
1,1
2,2
3,6
4,1
5,7
6,1
7,5
8,4
9,7
10,0
11,9
12,7
13,5
14,9
15,8
16,0
17,4
18,5
19,4
20,3
21,0
22,0
23,1
24,0
25,7
26,4
27,0
28,1
29,4
30,9
31,4
32,4
33,9
34,6
35,3
36,1
37,7
38,4
39,2
40,8
41,8
42,8
43,3
44,6
45,7
46,7
47,7
48,8
49,0
50,3
51,3
52,7
53,6
54,5
55,6
56,8
57,6
58,6
59,5
60,4
61,4
62,6
63,4
64,3
65,7
66,8
67,8
68,6
69,7
70,4
71,8
72,6
73,6
74,4
75,6
76,6
77,3
78,8
79,5
80,3
81,8
82,5
83,6
84,3
85,7
86,6
87,8
88,0
89,6
90,5
91,2
92,6
93,7
94,6
95,9
96,5
97,5
98,2
99,7
100,8
