id,answer
1,1
2,2
3,6
4,1
5,5
6,5
7,2
8,4
9,7
10,6
11,9
12,7
13,5
14,9
15,8
16,8
17,4
18,5
19,9
20,3
21,7
22,0
23,6
24,0
25,7
26,4
27,2
28,1
29,4
30,9
31,4
32,2
33,6
34,6
35,6
36,3
37,6
38,8
39,2
40,8
41,8
42,8
43,9
44,5
45,7
46,0
47,4
48,8
49,5
50,3
51,5
52,5
53,6
54,9
55,9
56,7
57,6
58,6
59,5
60,4
61,4
62,6
63,4
64,9
65,7
66,8
67,5
68,6
69,1
70,4
71,5
72,6
73,8
74,3
75,4
76,7
77,3
78,8
79,7
80,3
81,8
82,6
83,6
84,6
85,7
86,6
87,3
88,9
89,3
90,5
91,2
92,6
93,7
94,6
95,6
96,5
97,4
98,2
99,7
100,5
