id,answer
1,1
2,3
3,6
4,1
5,5
6,1
7,4
8,4
9,7
10,0
11,9
12,7
13,5
14,9
15,8
16,0
17,4
18,5
19,4
20,3
21,0
22,2
23,3
24,0
25,4
26,2
27,2
28,1
29,4
30,9
31,4
32,4
33,9
34,5
35,6
36,7
37,7
38,4
39,2
40,8
41,8
42,8
43,9
44,5
45,7
46,7
47,4
48,6
49,0
50,5
51,3
52,7
53,6
54,9
55,6
56,8
57,6
58,8
59,5
60,4
61,4
62,6
63,4
64,3
65,7
66,8
67,8
68,6
69,5
70,4
71,8
72,9
73,8
74,8
75,6
76,6
77,3
78,8
79,5
80,3
81,8
82,6
83,6
84,6
85,7
86,6
87,3
88,9
89,6
90,2
91,0
92,6
93,3
94,6
95,6
96,4
97,5
98,2
99,7
100,4
