id,answer
1,1
2,3
3,6
4,1
5,5
6,5
7,3
8,4
9,7
10,6
11,9
12,4
13,5
14,4
15,8
16,9
17,4
18,5
19,4
20,3
21,7
22,0
23,6
24,0
25,4
26,4
27,2
28,1
29,3
30,9
31,4
32,4
33,9
34,6
35,6
36,7
37,6
38,8
39,2
40,9
41,8
42,8
43,6
44,5
45,7
46,7
47,4
48,8
49,0
50,2
51,3
52,5
53,6
54,5
55,9
56,7
57,6
58,6
59,5
60,4
61,4
62,6
63,4
64,3
65,8
66,8
67,5
68,6
69,5
70,7
71,9
72,6
73,8
74,4
75,4
76,6
77,3
78,8
79,5
80,3
81,1
82,6
83,6
84,3
85,7
86,6
87,3
88,9
89,6
90,5
91,0
92,6
93,7
94,6
95,9
96,9
97,4
98,2
99,7
100,5
